"T, K","P, MPa",X,Y,T Err,P Err,X Err,Y Err
326.83,0.51,0.1011,,+-0.02,+-0.5%,,
332.2,0.585,0.1011,,+-0.02,+-0.5%,,
343.0,0.75,0.1011,,+-0.02,+-0.5%,,
353.52,0.94,0.1011,,+-0.02,+-0.5%,,
363.21,1.14,0.1011,,+-0.02,+-0.5%,,
373.33,1.385,0.1011,,+-0.02,+-0.5%,,
383.41,1.66,0.1011,,+-0.02,+-0.5%,,
393.29,1.96,0.1011,,+-0.02,+-0.5%,,
403.2,2.3,0.1011,,+-0.02,+-0.5%,,
413.14,2.675,0.1011,,+-0.02,+-0.5%,,
123.05,3.085,0.1011,,+-0.02,+-0.5%,,
132.89,3.525,0.1011,,+-0.02,+-0.5%,,
442.77,3.985,0.1011,,+-0.02,+-0.5%,,
452.52,4.46,0.1011,,+-0.02,+-0.5%,,
