"T, deg.C","P, bar",X,Y,T Err,P Err,X Err,Y Err
130.3,2.9679,0.0082,,+-0.1,,,
130.3,3.2267,0.01827,,+-0.1,,,
130.3,3.6552,0.03953,,+-0.1,,,
130.3,3.8185,0.05007,,+-0.1,,,
130.3,4.0152,0.0655,,+-0.1,,,
130.3,4.1138,0.07444,,+-0.1,,,
130.3,4.3251,0.09795,,+-0.1,,,
130.3,4.4623,0.11776,,+-0.1,,,
130.3,4.5764,0.13769,,+-0.1,,,
130.3,4.6689,0.15673,,+-0.1,,,
130.3,4.7442,0.17471,,+-0.1,,,
130.3,4.865,0.20862,,+-0.1,,,
130.3,4.9844,0.24866,,+-0.1,,,
130.3,5.0867,0.28851,,+-0.1,,,
130.3,5.099,0.29553,,+-0.1,,,
130.3,5.2157,0.34797,,+-0.1,,,
130.3,5.3046,0.39214,,+-0.1,,,
130.3,5.3872,0.43622,,+-0.1,,,
130.3,5.4785,0.48912,,+-0.1,,,
130.3,5.5561,0.53998,,+-0.1,,,
130.3,5.6209,0.5856,,+-0.1,,,
130.3,5.6866,0.63966,,+-0.1,,,
130.3,5.739,0.69011,,+-0.1,,,
130.3,5.7788,0.73563,,+-0.1,,,
130.3,5.812,0.78834,,+-0.1,,,
130.3,5.8311,0.85036,,+-0.1,,,
130.3,5.8323,0.88909,,+-0.1,,,
130.3,5.8233,0.92932,,+-0.1,,,
130.3,5.804,0.97057,,+-0.1,,,
130.3,5.7854,0.99751,,+-0.1,,,
