"T, K","P, kPa",X,Y,T Err,P Err,X Err,Y Err
363.15,5.495,0.0,0.0,0.01,0.025,0.001,0.001
363.15,6.125,0.0372,0.1283,0.01,0.025,0.001,0.001
363.15,6.885,0.091,0.2658,0.01,0.025,0.001,0.001
363.15,9.345,0.2642,0.5536,0.01,0.025,0.001,0.001
363.15,10.845,0.38,0.6693,0.01,0.025,0.001,0.001
363.15,11.635,0.4404,0.7207,0.01,0.025,0.001,0.001
363.15,12.5,0.5123,0.7675,0.01,0.025,0.001,0.001
363.15,13.21,0.575,0.8081,0.01,0.025,0.001,0.001
363.15,13.975,0.645,0.8432,0.01,0.025,0.001,0.001
363.15,14.865,0.7264,0.8857,0.01,0.025,0.001,0.001
363.15,16.09,0.8421,0.9368,0.01,0.025,0.001,0.001
363.15,17.1,0.9385,0.9752,0.01,0.025,0.001,0.001
363.15,17.74,1.0,1.0,0.01,0.025,0.001,0.001
