"T, deg.C","P, kPa",X,Y,T Err,P Err,X Err,Y Err
70.8,28,0.0,0.0,,,,
67.2,28,0.04,0.153,,,,
66.3,28,0.05,0.195,,,,
65.3,28,0.063,0.24,,,,
63.8,28,0.078,0.293,,,,
62.4,28,0.095,0.343,,,,
61.6,28,0.102,0.358,,,,
60.7,28,0.11,0.382,,,,
59.6,28,0.12,0.42,,,,
58.8,28,0.135,0.428,,,,
57.6,28,0.155,0.46,,,,
56.8,28,0.168,0.495,,,,
55.7,28,0.193,0.513,,,,
54.8,28,0.222,0.557,,,,
54.2,28,0.232,0.569,,,,
52.8,28,0.262,0.605,,,,
52.1,28,0.288,0.627,,,,
51.2,28,0.327,0.65,,,,
49.0,28,0.429,0.705,,,,
47.0,28,0.581,0.768,,,,
45.9,28,0.725,0.82,,,,
45.2,28,0.778,0.837,,,,
45.0,28,0.812,0.855,,,,
44.7,28,0.86,0.877,,,,
44.5,28,0.9,0.908,,,,
44.4,28,0.917,0.919,,,,
44.5,28,0.93,0.927,,,,
44.5,28,0.942,0.938,,,,
44.5,28,0.961,0.953,,,,
44.6,28,0.981,0.975,,,,
44.6,28,0.992,0.984,,,,
44.6,28,0.999,0.996,,,,
44.6,28,1.0,1.0,,,,
