"T, deg.C","P, psi",X,Y,T Err,P Err,X Err,Y Err
-75.1,0.002,0.0,0.0,0.02,1,0.005,0.005
-75.1,19.9,0.0195,0.999848,0.02,1,0.005,0.005
-75.1,25.0,0.02438,0.999885,0.02,1,0.005,0.005
-75.1,50.0,0.04742,0.999927,0.02,1,0.005,0.005
-75.1,100.0,0.09603,0.999949,0.02,1,0.005,0.005
-75.1,150.0,0.139,0.999955,0.02,1,0.005,0.005
-75.1,200.0,0.1813,0.999952,0.02,1,0.005,0.005
-75.1,300.0,0.266,0.999939,0.02,1,0.005,0.005
-75.1,400.0,0.3412,0.999919,0.02,1,0.005,0.005
-75.1,500.0,0.4225,0.999893,0.02,1,0.005,0.005
-75.1,600.0,0.5076,0.999832,0.02,1,0.005,0.005
-75.1,700.0,0.5936,0.99964,0.02,1,0.005,0.005
-75.1,800.0,0.6872,0.99789,0.02,1,0.005,0.005
-75.1,900.0,0.7596,0.99572,0.02,1,0.005,0.005
-75.1,1000.0,0.8117,0.99435,0.02,1,0.005,0.005
-75.1,1050.0,0.8468,,0.02,1,0.005,0.005
-75.1,1055.0,0.8932,,0.02,1,0.005,0.005
-75.1,1057.0,0.99364,0.99364,0.02,1,0.005,0.005
