"T, K","P, bar",X,Y,T Err,P Err,X Err,Y Err
373.15,0.1424,0.0,0.0,+-0.02,+-0.0002,+-0.004,+-0.004
373.15,0.1439,0.025,0.057,+-0.02,+-0.0002,+-0.004,+-0.004
373.15,0.1463,0.063,0.099,+-0.02,+-0.0002,+-0.004,+-0.004
373.15,0.1503,0.138,0.187,+-0.02,+-0.0002,+-0.004,+-0.004
373.15,0.1541,0.22,0.287,+-0.02,+-0.0002,+-0.004,+-0.004
373.15,0.1595,0.343,0.404,+-0.02,+-0.0002,+-0.004,+-0.004
373.15,0.1619,0.388,0.479,+-0.02,+-0.0002,+-0.004,+-0.004
373.15,0.1639,0.428,0.511,+-0.02,+-0.0002,+-0.004,+-0.004
373.15,0.1687,0.523,0.61,+-0.02,+-0.0002,+-0.004,+-0.004
373.15,0.1727,0.596,0.68,+-0.02,+-0.0002,+-0.004,+-0.004
373.15,0.1753,0.654,0.729,+-0.02,+-0.0002,+-0.004,+-0.004
373.15,0.1785,0.729,0.79,+-0.02,+-0.0002,+-0.004,+-0.004
373.15,0.1795,0.756,0.804,+-0.02,+-0.0002,+-0.004,+-0.004
373.15,0.182,0.798,0.85,+-0.02,+-0.0002,+-0.004,+-0.004
373.15,0.1841,0.837,0.882,+-0.02,+-0.0002,+-0.004,+-0.004
373.15,0.1859,0.879,0.922,+-0.02,+-0.0002,+-0.004,+-0.004
373.15,0.1879,0.912,0.942,+-0.02,+-0.0002,+-0.004,+-0.004
373.15,0.1892,0.947,0.974,+-0.02,+-0.0002,+-0.004,+-0.004
373.15,0.1915,0.996,1.0,+-0.02,+-0.0002,+-0.004,+-0.004
373.15,0.192,1.0,1.0,+-0.02,+-0.0002,+-0.004,+-0.004
