"T, deg.C","P, kPa",X,Y,T Err,P Err,X Err,Y Err
164.7,26.7,0.0,,+-0.1,+-0.13,,
164.2,26.7,0.0561,,+-0.1,+-0.13,,
163.9,26.7,0.0981,,+-0.1,+-0.13,,
163.6,26.7,0.1708,,+-0.1,+-0.13,,
163.4,26.7,0.2138,,+-0.1,+-0.13,,
163.0,26.7,0.2795,,+-0.1,+-0.13,,
162.8,26.7,0.3209,,+-0.1,+-0.13,,
162.2,26.7,0.3686,,+-0.1,+-0.13,,
161.4,26.7,0.4159,,+-0.1,+-0.13,,
161.1,26.7,0.4554,,+-0.1,+-0.13,,
160.8,26.7,0.5025,,+-0.1,+-0.13,,
160.5,26.7,0.5651,,+-0.1,+-0.13,,
160.3,26.7,0.6115,,+-0.1,+-0.13,,
160.1,26.7,0.6544,,+-0.1,+-0.13,,
159.8,26.7,0.6961,,+-0.1,+-0.13,,
159.4,26.7,0.7243,,+-0.1,+-0.13,,
159.2,26.7,0.7454,,+-0.1,+-0.13,,
159.0,26.7,0.7838,,+-0.1,+-0.13,,
158.8,26.7,0.8283,,+-0.1,+-0.13,,
158.5,26.7,0.8442,,+-0.1,+-0.13,,
158.2,26.7,0.8976,,+-0.1,+-0.13,,
157.2,26.7,0.9362,,+-0.1,+-0.13,,
157.2,26.7,0.9672,,+-0.1,+-0.13,,
157.4,26.7,1.0,,+-0.1,+-0.13,,
