"T, deg.C","P, mmHg",X,Y,T Err,P Err,X Err,Y Err
6.68,38.16,0.0,,+-0.005,+-0.03,+-0.005,+-0.005
7.02,38.94,0.0,,+-0.005,+-0.03,+-0.005,+-0.005
9.88,45.3,0.0,,+-0.005,+-0.03,+-0.005,+-0.005
10.07,45.7,0.0,,+-0.005,+-0.03,+-0.005,+-0.005
11.43,49.18,0.0,,+-0.005,+-0.03,+-0.005,+-0.005
12.8,52.71,0.0,,+-0.005,+-0.03,+-0.005,+-0.005
13.47,54.49,0.0,,+-0.005,+-0.03,+-0.005,+-0.005
15.29,59.6,0.0,,+-0.005,+-0.03,+-0.005,+-0.005
16.63,63.89,0.0,,+-0.005,+-0.03,+-0.005,+-0.005
17.97,68.13,0.0,,+-0.005,+-0.03,+-0.005,+-0.005
20.0,75.31,0.0,,+-0.005,+-0.03,+-0.005,+-0.005
20.07,75.54,0.0,,+-0.005,+-0.03,+-0.005,+-0.005
22.34,84.13,0.0,,+-0.005,+-0.03,+-0.005,+-0.005
25.05,95.59,0.0,,+-0.005,+-0.03,+-0.005,+-0.005
25.32,96.66,0.0,,+-0.005,+-0.03,+-0.005,+-0.005
0.5,29.83,0.102,,+-0.005,+-0.03,+-0.005,+-0.005
2.51,33.36,0.102,,+-0.005,+-0.03,+-0.005,+-0.005
6.3,40.36,0.102,,+-0.005,+-0.03,+-0.005,+-0.005
10.18,49.81,0.102,,+-0.005,+-0.03,+-0.005,+-0.005
13.59,59.09,0.102,,+-0.005,+-0.03,+-0.005,+-0.005
16.91,69.57,0.102,,+-0.005,+-0.03,+-0.005,+-0.005
20.87,83.99,0.102,,+-0.005,+-0.03,+-0.005,+-0.005
25.51,104.07,0.102,,+-0.005,+-0.03,+-0.005,+-0.005
0.45,31.4,0.174,,+-0.005,+-0.03,+-0.005,+-0.005
3.24,36.45,0.174,,+-0.005,+-0.03,+-0.005,+-0.005
5.77,41.66,0.174,,+-0.005,+-0.03,+-0.005,+-0.005
9.35,50.06,0.174,,+-0.005,+-0.03,+-0.005,+-0.005
12.58,58.89,0.174,,+-0.005,+-0.03,+-0.005,+-0.005
17.04,73.16,0.174,,+-0.005,+-0.03,+-0.005,+-0.005
21.08,88.66,0.174,,+-0.005,+-0.03,+-0.005,+-0.005
24.94,105.61,0.174,,+-0.005,+-0.03,+-0.005,+-0.005
0.53,32.92,0.418,,+-0.005,+-0.03,+-0.005,+-0.005
6.13,44.13,0.418,,+-0.005,+-0.03,+-0.005,+-0.005
10.23,54.36,0.418,,+-0.005,+-0.03,+-0.005,+-0.005
14.19,66.2,0.418,,+-0.005,+-0.03,+-0.005,+-0.005
17.74,78.51,0.418,,+-0.005,+-0.03,+-0.005,+-0.005
21.68,94.37,0.418,,+-0.005,+-0.03,+-0.005,+-0.005
25.06,109.93,0.418,,+-0.005,+-0.03,+-0.005,+-0.005
0.63,32.98,0.735,,+-0.005,+-0.03,+-0.005,+-0.005
4.41,40.34,0.735,,+-0.005,+-0.03,+-0.005,+-0.005
8.28,49.37,0.735,,+-0.005,+-0.03,+-0.005,+-0.005
11.97,59.28,0.735,,+-0.005,+-0.03,+-0.005,+-0.005
16.52,73.97,0.735,,+-0.005,+-0.03,+-0.005,+-0.005
20.48,89.11,0.735,,+-0.005,+-0.03,+-0.005,+-0.005
22.37,97.23,0.735,,+-0.005,+-0.03,+-0.005,+-0.005
24.92,109.0,0.735,,+-0.005,+-0.03,+-0.005,+-0.005
0.62,31.91,0.838,,+-0.005,+-0.03,+-0.005,+-0.005
3.69,37.6,0.838,,+-0.005,+-0.03,+-0.005,+-0.005
7.14,44.81,0.838,,+-0.005,+-0.03,+-0.005,+-0.005
9.66,50.97,0.838,,+-0.005,+-0.03,+-0.005,+-0.005
12.8,59.58,0.838,,+-0.005,+-0.03,+-0.005,+-0.005
16.0,69.63,0.838,,+-0.005,+-0.03,+-0.005,+-0.005
18.87,79.71,0.838,,+-0.005,+-0.03,+-0.005,+-0.005
21.66,90.59,0.838,,+-0.005,+-0.03,+-0.005,+-0.005
25.0,105.03,0.838,,+-0.005,+-0.03,+-0.005,+-0.005
0.42,30.13,0.923,,+-0.005,+-0.03,+-0.005,+-0.005
3.18,34.96,0.923,,+-0.005,+-0.03,+-0.005,+-0.005
5.56,39.74,0.923,,+-0.005,+-0.03,+-0.005,+-0.005
6.1,40.88,0.923,,+-0.005,+-0.03,+-0.005,+-0.005
10.33,50.67,0.923,,+-0.005,+-0.03,+-0.005,+-0.005
13.99,60.84,0.923,,+-0.005,+-0.03,+-0.005,+-0.005
17.86,73.3,0.923,,+-0.005,+-0.03,+-0.005,+-0.005
21.82,88.13,0.923,,+-0.005,+-0.03,+-0.005,+-0.005
25.05,102.11,0.923,,+-0.005,+-0.03,+-0.005,+-0.005
6.08,38.73,1.0,,+-0.005,+-0.03,+-0.005,+-0.005
10.7,49.32,1.0,,+-0.005,+-0.03,+-0.005,+-0.005
12.53,54.21,1.0,,+-0.005,+-0.03,+-0.005,+-0.005
15.03,61.2,1.0,,+-0.005,+-0.03,+-0.005,+-0.005
17.23,68.21,1.0,,+-0.005,+-0.03,+-0.005,+-0.005
20.74,80.39,1.0,,+-0.005,+-0.03,+-0.005,+-0.005
23.13,89.9,1.0,,+-0.005,+-0.03,+-0.005,+-0.005
25.14,98.41,1.0,,+-0.005,+-0.03,+-0.005,+-0.005
