"T, K","P, bar",X,Y,T Err,P Err,X Err,Y Err
368.15,0.1185,0.0,0.0,+-0.02,+-0.0002,+-0.003,+-0.003
368.15,0.1317,0.014,0.163,+-0.02,+-0.0002,+-0.003,+-0.003
368.15,0.1667,0.055,0.321,+-0.02,+-0.0002,+-0.003,+-0.003
368.15,0.1841,0.065,0.386,+-0.02,+-0.0002,+-0.003,+-0.003
368.15,0.2205,0.103,0.508,+-0.02,+-0.0002,+-0.003,+-0.003
368.15,0.252,0.135,0.595,+-0.02,+-0.0002,+-0.003,+-0.003
368.15,0.2893,0.175,0.657,+-0.02,+-0.0002,+-0.003,+-0.003
368.15,0.3489,0.251,0.748,+-0.02,+-0.0002,+-0.003,+-0.003
368.15,0.4129,0.343,0.824,+-0.02,+-0.0002,+-0.003,+-0.003
368.15,0.5154,0.46,0.883,+-0.02,+-0.0002,+-0.003,+-0.003
368.15,0.6279,0.613,0.933,+-0.02,+-0.0002,+-0.003,+-0.003
368.15,0.7297,0.741,0.962,+-0.02,+-0.0002,+-0.003,+-0.003
368.15,0.7997,0.834,0.976,+-0.02,+-0.0002,+-0.003,+-0.003
368.15,0.8813,0.927,0.987,+-0.02,+-0.0002,+-0.003,+-0.003
368.15,0.912,0.979,0.997,+-0.02,+-0.0002,+-0.003,+-0.003
368.15,0.9172,1.0,1.0,+-0.02,+-0.0002,+-0.003,+-0.003
