"T, K","P, bar",X,Y,T Err,P Err,X Err,Y Err
344.26,11.15,0.0,0.0,0.025,+-0.03,,
344.26,12.07,0.0084,0.072,0.025,+-0.03,,
344.26,13.36,0.021,0.141,0.025,+-0.03,,
344.26,14.9,0.035,0.216,0.025,+-0.03,,
344.26,16.47,0.05,0.2774,0.025,+-0.03,,
344.26,18.95,0.0738,0.3581,0.025,+-0.03,,
344.26,24.33,0.1242,0.478,0.025,+-0.03,,
344.26,31.82,0.1931,0.576,0.025,+-0.03,,
344.26,36.7,0.2409,0.622,0.025,+-0.03,,
344.26,40.35,0.2755,0.6449,0.025,+-0.03,,
344.26,44.35,0.3155,0.666,0.025,+-0.03,,
344.26,49.58,0.3635,0.6904,0.025,+-0.03,,
344.26,53.23,0.3993,0.7016,0.025,+-0.03,,
344.26,57.14,0.4373,0.711,0.025,+-0.03,,
344.26,61.06,0.4744,0.7193,0.025,+-0.03,,
344.26,64.84,0.511,0.7232,0.025,+-0.03,,
344.26,68.44,0.5539,0.7236,0.025,+-0.03,,
344.26,71.96,0.5974,0.7168,0.025,+-0.03,,
344.26,73.04,0.6118,0.7076,0.025,+-0.03,,
344.26,73.5,0.6235,0.696,0.025,+-0.03,,
344.26,74.0,0.6332,0.691,0.025,+-0.03,,
