"T, deg.C","P, psi",X,Y,T Err,P Err,X Err,Y Err
-86.92,0.00054,0.0,,0.02,1,0.005,0.005
-86.92,50.0,0.06129,,0.02,1,0.005,0.005
-86.92,100.0,0.1189,,0.02,1,0.005,0.005
-86.92,150.0,0.1813,,0.02,1,0.005,0.005
-86.92,200.0,0.2357,,0.02,1,0.005,0.005
-86.92,300.0,0.3412,,0.02,1,0.005,0.005
-86.92,400.0,0.4593,,0.02,1,0.005,0.005
-86.92,500.0,0.601,,0.02,1,0.005,0.005
-86.92,540.0,0.6826,,0.02,1,0.005,0.005
-86.92,559.0,0.8057,0.999837,0.02,1,0.005,0.005
-86.92,559.0,0.9505,0.999837,0.02,1,0.005,0.005
-86.92,574.0,0.9776,,0.02,1,0.005,0.005
-86.92,579.0,0.9871,,0.02,1,0.005,0.005
-86.92,582.0,1.0,,0.02,1,0.005,0.005
