"T, deg.C","P, kPa",X,Y,T Err,P Err,X Err,Y Err
108.0,101.325,0.0192,0.255,,,,
107.1,101.325,0.023,0.276,,,,
106.0,101.325,0.0257,0.2937,,,,
104.8,101.325,0.0297,0.3212,,,,
101.5,101.325,0.0397,0.3805,,,,
100.9,101.325,0.0413,0.3867,,,,
99.1,101.325,0.0522,0.4266,,,,
95.1,101.325,0.0752,0.5001,,,,
93.8,101.325,0.0959,0.5212,,,,
90.2,101.325,0.1501,0.5853,,,,
88.6,101.325,0.179,0.5946,,,,
87.9,101.325,0.3,0.6411,,,,
87.9,101.325,0.4,0.6411,,,,
87.9,101.325,0.5,0.6411,,,,
87.9,101.325,0.6411,0.6411,,,,
87.9,101.325,0.8,0.6411,,,,
87.9,101.325,0.9,0.6411,,,,
91.6,101.325,0.9966,0.769,,,,
94.4,101.325,0.9976,0.82,,,,
98.0,101.325,0.9992,0.9297,,,,
