"T, K","P, MPa",X,Y,T Err,P Err,X Err,Y Err
357.65,1.127,0.0,0.0,+-0.02,+-0.003,+-0.005,
357.65,1.258,0.065,0.124,+-0.02,+-0.003,+-0.005,
357.65,1.417,0.153,0.268,+-0.02,+-0.003,+-0.005,
357.65,1.544,0.233,0.368,+-0.02,+-0.003,+-0.005,
357.65,1.686,0.325,0.476,+-0.02,+-0.003,+-0.005,
357.65,1.834,0.429,0.573,+-0.02,+-0.003,+-0.005,
357.65,1.962,0.523,0.65,+-0.02,+-0.003,+-0.005,
357.65,2.089,0.629,0.728,+-0.02,+-0.003,+-0.005,
357.65,2.21,0.733,0.803,+-0.02,+-0.003,+-0.005,
357.65,2.289,0.819,0.865,+-0.02,+-0.003,+-0.005,
357.65,2.389,0.907,0.93,+-0.02,+-0.003,+-0.005,
