"T, deg.C","P, kPa",X,Y,T Err,P Err,X Err,Y Err
95.0,47.53,0.0,0.0,+- 0.01,,,
95.0,50.19,0.0135,0.0632,+- 0.01,,,
95.0,53.73,0.0325,0.1381,+- 0.01,,,
95.0,59.92,0.0677,0.2506,+- 0.01,,,
95.0,73.47,0.1727,0.4383,+- 0.01,,,
95.0,78.91,0.2315,0.5015,+- 0.01,,,
95.0,82.23,0.2731,0.5372,+- 0.01,,,
95.0,87.33,0.3563,0.5926,+- 0.01,,,
95.0,91.05,0.4199,0.6304,+- 0.01,,,
95.0,94.39,0.5144,0.6731,+- 0.01,,,
95.0,97.26,0.643,0.7257,+- 0.01,,,
95.0,98.39,0.737,0.7674,+- 0.01,,,
95.0,98.62,0.8002,0.7998,+- 0.01,,,
95.0,98.53,0.8132,0.8069,+- 0.01,,,
95.0,98.42,0.8314,0.8177,+- 0.01,,,
95.0,98.3,0.8452,0.8266,+- 0.01,,,
95.0,98.06,0.86,0.8362,+- 0.01,,,
95.0,97.17,0.9149,0.8802,+- 0.01,,,
95.0,95.5,0.9547,0.9249,+- 0.01,,,
95.0,94.92,0.9656,0.9398,+- 0.01,,,
95.0,93.8,0.9815,0.9651,+- 0.01,,,
95.0,93.48,0.9857,0.9728,+- 0.01,,,
95.0,92.84,0.9924,0.9853,+- 0.01,,,
95.0,91.95,1.0,1.0,+- 0.01,,,
