"T, deg.C","P, mmHg",X,Y,T Err,P Err,X Err,Y Err
100,375.0,0.0,0.0,+-0.1,,+-0.2%,+-0.2%
100,386.1,0.01,0.02,+-0.1,,+-0.2%,+-0.2%
100,385.0,0.025,0.04,+-0.1,,+-0.2%,+-0.2%
100,384.3,0.033,0.039,+-0.1,,+-0.2%,+-0.2%
100,385.0,0.045,0.045,+-0.1,,+-0.2%,+-0.2%
100,384.7,0.048,0.047,+-0.1,,+-0.2%,+-0.2%
100,380.7,0.096,0.062,+-0.1,,+-0.2%,+-0.2%
100,380.0,0.127,0.082,+-0.1,,+-0.2%,+-0.2%
100,376.5,0.153,0.093,+-0.1,,+-0.2%,+-0.2%
100,371.7,0.215,0.106,+-0.1,,+-0.2%,+-0.2%
100,364.0,0.284,0.122,+-0.1,,+-0.2%,+-0.2%
100,359.8,0.312,0.142,+-0.1,,+-0.2%,+-0.2%
100,354.0,0.375,0.14,+-0.1,,+-0.2%,+-0.2%
100,350.7,0.398,0.156,+-0.1,,+-0.2%,+-0.2%
100,334.3,0.563,0.163,+-0.1,,+-0.2%,+-0.2%
100,319.5,0.65,0.19,+-0.1,,+-0.2%,+-0.2%
100,315.1,0.68,0.225,+-0.1,,+-0.2%,+-0.2%
100,292.8,0.78,0.212,+-0.1,,+-0.2%,+-0.2%
100,273.4,0.845,0.22,+-0.1,,+-0.2%,+-0.2%
100,278.1,0.87,0.232,+-0.1,,+-0.2%,+-0.2%
100,73.7,1.0,1.0,+-0.1,,+-0.2%,+-0.2%
