"T, deg.C","P, kPa",X,Y,T Err,P Err,X Err,Y Err
75.0,7.32,0.0,0.0,,,,
75.0,8.78,0.0082,0.1586,,,,
75.0,12.48,0.0297,0.4289,,,,
75.0,16.41,0.0535,0.5737,,,,
75.0,21.36,0.0914,0.6886,,,,
75.0,28.53,0.1627,0.7817,,,,
75.0,33.3,0.2308,0.8217,,,,
75.0,38.28,0.325,0.8555,,,,
75.0,40.66,0.3938,0.8684,,,,
75.0,43.13,0.4862,0.8844,,,,
75.0,45.27,0.6106,0.8978,,,,
75.0,47.36,0.7624,0.9149,,,,
75.0,48.08,0.8364,0.9249,,,,
75.0,48.6,0.9089,0.9388,,,,
75.0,48.62,0.9112,0.9395,,,,
75.0,48.68,0.926,0.9438,,,,
75.0,48.75,0.943,0.95,,,,
75.0,48.79,0.9623,0.96,,,,
75.0,48.73,0.9657,0.9624,,,,
75.0,48.55,0.9864,0.9817,,,,
75.0,48.4,1.0,1.0,,,,
