"T, K","P, Torr",X,Y,T Err,P Err,X Err,Y Err
308.21,7.16,1.0,,,,,
308.21,25.58,0.923,,,,,
308.21,28.14,0.913,,,,,
308.21,39.63,0.848,,,,,
308.21,40.38,0.84,,,,,
308.21,43.58,0.822,,,,,
308.21,51.02,0.773,,,,,
308.21,56.09,0.744,,,,,
308.21,59.57,0.725,,,,,
308.21,61.16,0.717,,,,,
308.21,70.03,0.656,,,,,
308.21,73.39,0.64,,,,,
308.21,73.54,0.633,,,,,
308.21,76.7,0.622,,,,,
308.21,82.51,0.579,,,,,
308.21,,0.579,,,,,
308.21,87.02,0.566,,,,,
308.21,96.68,0.513,,,,,
308.21,101.79,0.474,,,,,
308.21,105.54,0.469,,,,,
308.21,113.64,0.435,,,,,
308.21,115.33,0.429,,,,,
308.21,123.91,0.386,,,,,
308.21,127.1,0.354,,,,,
308.21,134.26,0.348,,,,,
308.21,130.08,0.346,,,,,
308.21,156.68,0.253,,,,,
308.21,152.92,0.248,,,,,
308.21,163.89,0.229,,,,,
308.21,172.79,0.182,,,,,
308.21,196.92,0.167,,,,,
308.21,185.82,0.132,,,,,
308.21,188.9,0.111,,,,,
308.21,210.14,0.0,,,,,
