"T, K","P, bar",X,Y,T Err,P Err,X Err,Y Err
298.15,6.097,0.0,0.0,0.01,0.005,,
298.15,6.789,0.0515,0.1473,0.01,0.005,,
298.15,7.38,0.0989,0.2523,0.01,0.005,,
298.15,7.777,0.1324,0.3143,0.01,0.005,,
298.15,8.52,0.2002,0.4178,0.01,0.005,,
298.15,9.024,0.2507,0.4805,0.01,0.005,,
298.15,9.483,0.3002,0.5334,0.01,0.005,,
298.15,9.904,0.3495,0.5794,0.01,0.005,,
298.15,10.299,0.3995,0.6206,0.01,0.005,,
298.15,10.656,0.4495,0.6573,0.01,0.005,,
298.15,10.981,0.4991,0.6903,0.01,0.005,,
298.15,11.256,0.5446,0.7182,0.01,0.005,,
298.15,11.297,0.5485,0.7205,0.01,0.005,,
298.15,11.561,0.5993,0.7493,0.01,0.005,,
298.15,11.799,0.6484,0.7757,0.01,0.005,,
298.15,12.044,0.7057,0.8055,0.01,0.005,,
298.15,12.201,0.7472,0.827,0.01,0.005,,
298.15,12.37,0.7971,0.8537,0.01,0.005,,
298.15,12.515,0.8466,0.8819,0.01,0.005,,
298.15,12.626,0.8957,0.9131,0.01,0.005,,
298.15,12.694,0.9463,0.9506,0.01,0.005,,
298.15,12.707,1.0,1.0,0.01,0.005,,
