"T, K","P, bar",X,Y,T Err,P Err,X Err,Y Err
283.32,0.71,1.0,,+-0.02,+-0.01,+-0.05%,
283.32,3.28,0.9444,,+-0.02,+-0.01,+-0.05%,
283.32,5.08,0.8851,,+-0.02,+-0.01,+-0.05%,
283.32,7.24,0.7629,,+-0.02,+-0.01,+-0.05%,
283.32,7.41,0.7426,,+-0.02,+-0.01,+-0.05%,
283.32,8.67,0.5925,,+-0.02,+-0.01,+-0.05%,
283.32,9.21,0.4909,,+-0.02,+-0.01,+-0.05%,
283.32,9.2,0.4825,,+-0.02,+-0.01,+-0.05%,
283.32,9.38,0.45,,+-0.02,+-0.01,+-0.05%,
283.32,9.63,0.3757,,+-0.02,+-0.01,+-0.05%,
283.32,9.86,0.3029,,+-0.02,+-0.01,+-0.05%,
283.32,10.0,0.2597,,+-0.02,+-0.01,+-0.05%,
283.32,10.19,0.2159,,+-0.02,+-0.01,+-0.05%,
283.32,10.38,0.1619,,+-0.02,+-0.01,+-0.05%,
283.32,10.44,0.1421,,+-0.02,+-0.01,+-0.05%,
283.32,10.48,0.1308,,+-0.02,+-0.01,+-0.05%,
283.32,10.73,0.0724,,+-0.02,+-0.01,+-0.05%,
283.32,10.82,0.0566,,+-0.02,+-0.01,+-0.05%,
283.32,10.85,0.0522,,+-0.02,+-0.01,+-0.05%,
283.32,10.89,0.0447,,+-0.02,+-0.01,+-0.05%,
283.32,11.19,0.0,,+-0.02,+-0.01,+-0.05%,
