"T, K","P, MPa",X,Y,T Err,P Err,X Err,Y Err
283.15,0.21,0.0,0.0,0.05,0.005,,
283.15,0.271,0.142,0.312,0.05,0.005,,
283.15,0.345,0.304,0.5743,0.05,0.005,,
283.15,0.418,0.463,0.707,0.05,0.005,,
283.15,0.447,0.527,0.75,0.05,0.005,,
283.15,0.471,0.571,0.783,0.05,0.005,,
283.15,0.481,0.597,0.8,0.05,0.005,,
283.15,0.514,0.665,0.842,0.05,0.005,,
283.15,0.524,0.693,0.856,0.05,0.005,,
283.15,0.541,0.725,0.872,0.05,0.005,,
283.15,0.554,0.748,0.886,0.05,0.005,,
283.15,0.565,0.78,0.9,0.05,0.005,,
283.15,0.575,0.792,0.911,0.05,0.005,,
283.15,0.607,0.863,0.946,0.05,0.005,,
283.15,0.627,0.889,0.954,0.05,0.005,,
283.15,0.679,1.0,1.0,0.05,0.005,,
