"T, K","P, bar",X,Y,T Err,P Err,X Err,Y Err
278.3,3.733,0.0475,,,,,
285.85,4.473,0.0475,,,,,
293.24,5.289,0.0475,,,,,
300.66,6.189,0.0475,,,,,
308.31,7.199,0.0475,,,,,
315.72,8.134,0.0475,,,,,
320.67,8.705,0.0475,,,,,
321.23,8.751,0.0475,,,,,
321.49,8.771,0.0475,,,,,
345.7,9.506,0.2636,,,,,
353.29,10.326,0.2636,,,,,
356.92,10.691,0.2636,,,,,
360.62,11.061,0.2636,,,,,
364.74,11.447,0.2636,,,,,
368.26,11.762,0.2636,,,,,
371.21,12.002,0.2636,,,,,
278.35,1.934,0.603,,,,,
293.17,2.579,0.603,,,,,
308.48,3.319,0.603,,,,,
313.04,3.559,0.603,,,,,
323.31,4.124,0.603,,,,,
338.38,4.999,0.603,,,,,
353.39,5.904,0.603,,,,,
368.41,6.834,0.603,,,,,
278.32,3.35,0.1476,,,,,
288.31,4.205,0.1476,,,,,
298.29,5.176,0.1476,,,,,
308.34,6.271,0.1476,,,,,
318.27,7.446,0.1476,,,,,
328.35,8.686,0.1476,,,,,
335.97,9.602,0.1476,,,,,
343.29,10.398,0.1476,,,,,
348.38,10.863,0.1476,,,,,
353.4,11.248,0.1476,,,,,
356.03,11.424,0.1476,,,,,
356.36,11.447,0.1476,,,,,
278.3,2.699,0.3739,,,,,
293.24,3.684,0.3739,,,,,
308.26,4.839,0.3739,,,,,
323.34,6.139,0.3739,,,,,
338.31,7.53,0.3739,,,,,
345.58,8.224,0.3739,,,,,
353.41,8.979,0.3739,,,,,
360.88,9.679,0.3739,,,,,
368.45,10.374,0.3739,,,,,
278.18,1.487,0.7106,,,,,
293.33,1.967,0.7106,,,,,
308.31,2.502,0.7106,,,,,
323.42,3.097,0.7106,,,,,
338.27,3.727,0.7106,,,,,
348.37,4.167,0.7106,,,,,
353.14,4.382,0.7106,,,,,
368.42,5.082,0.7106,,,,,
278.34,3.024,0.2636,,,,,
293.3,4.164,0.2636,,,,,
308.18,5.504,0.2636,,,,,
323.32,7.049,0.2636,,,,,
330.74,7.854,0.2636,,,,,
338.22,8.681,0.2636,,,,,
278.18,2.332,0.4843,,,,,
283.3,2.597,0.4843,,,,,
293.33,3.147,0.4843,,,,,
307.62,4.037,0.4843,,,,,
308.31,4.082,0.4843,,,,,
323.3,5.127,0.4843,,,,,
338.32,6.247,0.4843,,,,,
353.21,7.402,0.4843,,,,,
363.19,8.177,0.4843,,,,,
368.19,8.562,0.4843,,,,,
371.25,8.802,0.4843,,,,,
278.25,0.737,0.8658,,,,,
293.25,0.967,0.8658,,,,,
308.23,1.218,0.8658,,,,,
323.24,1.503,0.8658,,,,,
338.25,1.813,0.8658,,,,,
353.12,2.144,0.8658,,,,,
368.15,2.504,0.8658,,,,,
