"T, K","P, MPa",X,Y,T Err,P Err,X Err,Y Err
263.15,1.86,0.0,0.0,+-0.02,+-0.1%,+-0.002,+-0.002
263.15,2.017,0.0388,0.0895,+-0.02,+-0.1%,+-0.002,+-0.002
263.15,2.058,0.0512,0.1105,+-0.02,+-0.1%,+-0.002,+-0.002
263.15,2.312,0.1293,0.236,+-0.02,+-0.1%,+-0.002,+-0.002
263.15,2.41,0.1638,0.2834,+-0.02,+-0.1%,+-0.002,+-0.002
263.15,2.457,0.1832,0.3035,+-0.02,+-0.1%,+-0.002,+-0.002
263.15,2.641,0.2613,0.3824,+-0.02,+-0.1%,+-0.002,+-0.002
263.15,2.654,0.2675,0.3928,+-0.02,+-0.1%,+-0.002,+-0.002
263.15,2.77,0.3302,0.4456,+-0.02,+-0.1%,+-0.002,+-0.002
263.15,2.894,0.4167,0.5118,+-0.02,+-0.1%,+-0.002,+-0.002
263.15,2.999,0.5283,0.576,+-0.02,+-0.1%,+-0.002,+-0.002
