"T, deg.F","P, psi",X,Y,T Err,P Err,X Err,Y Err
100.2,15.3,0.0,0.0,+-0.1,+-3,+-0.004,+-0.004
100.2,67.0,,0.7421,+-0.1,+-3,+-0.004,+-0.004
100.2,123.0,,0.8598,+-0.1,+-3,+-0.004,+-0.004
100.2,230.0,0.1689,0.9202,+-0.1,+-3,+-0.004,+-0.004
100.2,316.0,0.2379,0.9401,+-0.1,+-3,+-0.004,+-0.004
100.2,428.0,0.3357,0.9527,+-0.1,+-3,+-0.004,+-0.004
100.2,528.0,0.4223,0.955,+-0.1,+-3,+-0.004,+-0.004
100.2,636.0,0.5321,0.9575,+-0.1,+-3,+-0.004,+-0.004
100.2,770.0,0.6674,0.9663,+-0.1,+-3,+-0.004,+-0.004
100.2,859.0,0.7702,0.9692,+-0.1,+-3,+-0.004,+-0.004
100.2,904.0,0.8109,0.9699,+-0.1,+-3,+-0.004,+-0.004
100.2,948.0,0.8553,0.9704,+-0.1,+-3,+-0.004,+-0.004
100.2,986.0,0.8763,0.9701,+-0.1,+-3,+-0.004,+-0.004
100.2,1015.0,0.8963,0.9745,+-0.1,+-3,+-0.004,+-0.004
100.2,1071.0,0.9416,0.9724,+-0.1,+-3,+-0.004,+-0.004
