"T, deg.C","P, kPa",X,Y,T Err,P Err,X Err,Y Err
85.0,17.55,0.0,0.0,,,,
85.0,18.95,0.0072,0.0768,,,,
85.0,21.12,0.0181,0.1782,,,,
85.0,23.63,0.0314,0.2762,,,,
85.0,26.87,0.0477,0.3723,,,,
85.0,29.91,0.0664,0.4439,,,,
85.0,33.47,0.0868,0.5116,,,,
85.0,36.6,0.1101,0.5642,,,,
85.0,38.65,0.124,0.5918,,,,
85.0,45.4,0.1833,0.6647,,,,
85.0,50.18,0.2448,0.7108,,,,
85.0,55.42,0.321,0.7515,,,,
85.0,59.14,0.3973,0.7774,,,,
85.0,61.94,0.4767,0.7987,,,,
85.0,64.26,0.5529,0.8159,,,,
85.0,65.95,0.6315,0.8341,,,,
85.0,67.53,0.7203,0.8526,,,,
85.0,68.68,0.8022,0.8693,,,,
85.0,69.27,0.8806,0.8957,,,,
85.0,68.9,0.9597,0.9444,,,,
85.0,67.37,1.0,1.0,,,,
