"T, K","P, kPa",X,Y,T Err,P Err,X Err,Y Err
323.15,11.06,0.0,0.0,+-0.01,+-0.007,+-0.001,+-0.001
323.15,15.33,0.056,0.244,+-0.01,+-0.007,+-0.001,+-0.001
323.15,18.83,0.103,0.404,+-0.01,+-0.007,+-0.001,+-0.001
323.15,26.98,0.198,0.645,+-0.01,+-0.007,+-0.001,+-0.001
323.15,28.79,0.244,0.678,+-0.01,+-0.007,+-0.001,+-0.001
323.15,30.91,0.287,0.712,+-0.01,+-0.007,+-0.001,+-0.001
323.15,33.4,0.328,0.744,+-0.01,+-0.007,+-0.001,+-0.001
323.15,34.09,0.367,0.755,+-0.01,+-0.007,+-0.001,+-0.001
323.15,35.49,0.404,0.775,+-0.01,+-0.007,+-0.001,+-0.001
323.15,35.91,0.441,0.785,+-0.01,+-0.007,+-0.001,+-0.001
323.15,37.13,0.51,0.806,+-0.01,+-0.007,+-0.001,+-0.001
323.15,37.75,0.545,0.817,+-0.01,+-0.007,+-0.001,+-0.001
323.15,38.12,0.578,0.835,+-0.01,+-0.007,+-0.001,+-0.001
323.15,38.79,0.712,0.862,+-0.01,+-0.007,+-0.001,+-0.001
323.15,39.49,0.889,0.889,+-0.01,+-0.007,+-0.001,+-0.001
323.15,39.3,0.964,0.914,+-0.01,+-0.007,+-0.001,+-0.001
323.15,37.82,0.989,0.939,+-0.01,+-0.007,+-0.001,+-0.001
323.15,36.51,1.0,1.0,+-0.01,+-0.007,+-0.001,+-0.001
