"T, K","P, kPa",X,Y,T Err,P Err,X Err,Y Err
352.32,101.32,0.0856,0.0492,+-0.02,,,
353.16,101.32,0.1437,0.0685,+-0.02,,,
354.21,101.32,0.2121,0.0936,+-0.02,,,
355.12,101.32,0.2664,0.1091,+-0.02,,,
356.52,101.32,0.3439,0.131,+-0.02,,,
357.42,101.32,0.3897,0.1462,+-0.02,,,
358.37,101.32,0.434,0.1608,+-0.02,,,
359.04,101.32,0.4626,0.1701,+-0.02,,,
359.76,101.32,0.492,0.1801,+-0.02,,,
360.58,101.32,0.5231,0.1912,+-0.02,,,
361.62,101.32,0.5589,0.2063,+-0.02,,,
362.32,101.32,0.5813,0.2167,+-0.02,,,
362.97,101.32,0.601,0.2254,+-0.02,,,
364.12,101.32,0.6324,0.2408,+-0.02,,,
365.7,101.32,0.6716,0.2622,+-0.02,,,
366.82,101.32,0.6963,0.277,+-0.02,,,
368.25,101.32,0.7244,0.2971,+-0.02,,,
370.52,101.32,0.7631,0.3302,+-0.02,,,
372.77,101.32,0.7957,0.3645,+-0.02,,,
376.04,101.32,0.8353,0.4183,+-0.02,,,
378.76,101.32,0.8627,0.4671,+-0.02,,,
383.05,101.32,0.8987,0.5516,+-0.02,,,
386.12,101.32,0.9205,0.6171,+-0.02,,,
389.68,101.32,0.943,0.6998,+-0.02,,,
394.31,101.32,0.9703,0.8279,+-0.02,,,
