"T, deg.F","P, mmHg",X,Y,T Err,P Err,X Err,Y Err
155.6,100,0.099,0.117,,,,
155.0,100,0.193,0.217,,,,
154.5,100,0.296,0.323,,,,
153.8,100,0.385,0.413,,,,
153.15,100,0.492,0.522,,,,
152.55,100,0.599,0.627,,,,
151.95,100,0.689,0.712,,,,
151.35,100,0.783,0.797,,,,
150.7,100,0.889,0.897,,,,
