"T, deg.C","P, MPa",X,Y,T Err,P Err,X Err,Y Err
60.0,1.0665,0.058,0.812,0.02,0.00025,0.005,0.005
60.0,1.7153,0.099,0.889,0.02,0.00025,0.005,0.005
60.0,2.4949,0.162,0.929,0.02,0.00025,0.005,0.005
60.0,2.9651,0.187,0.932,0.02,0.00025,0.005,0.005
60.0,3.545,0.243,0.941,0.02,0.00025,0.005,0.005
60.0,4.2215,0.286,0.951,0.02,0.00025,0.005,0.005
60.0,4.8757,0.349,0.956,0.02,0.00025,0.005,0.005
60.0,5.4509,0.418,0.957,0.02,0.00025,0.005,0.005
60.0,6.4564,0.511,0.958,0.02,0.00025,0.005,0.005
60.0,7.0533,0.586,0.958,0.02,0.00025,0.005,0.005
60.0,7.5783,0.648,0.949,0.02,0.00025,0.005,0.005
60.0,8.2634,0.726,0.949,0.02,0.00025,0.005,0.005
