"T, K","P, atm",X,Y,T Err,P Err,X Err,Y Err
280.0,27.6,0.0,0.0,,,,
280.0,29.5,0.0061,0.0437,,,,
280.0,30.72,0.0097,0.0684,,,,
280.0,31.8,0.0128,0.0866,,,,
280.0,36.23,0.0265,0.1558,,,,
280.0,40.32,0.0394,0.2047,,,,
280.0,45.35,0.0556,0.2511,,,,
280.0,51.69,0.0767,0.2943,,,,
280.0,55.89,0.0921,0.3167,,,,
280.0,60.2,0.1078,0.3331,,,,
280.0,65.3,0.1284,0.3471,,,,
280.0,71.68,0.157,0.3542,,,,
280.0,76.9,0.1852,0.3484,,,,
280.0,80.25,0.2088,0.336,,,,
280.0,80.9,0.2162,0.3339,,,,
280.0,82.25,0.2311,0.3177,,,,
