"T, K","P, MPa",X,Y,T Err,P Err,X Err,Y Err
278.25,0.907,0.7005,,0.02,0.005,0.001,0.001
283.23,1.012,0.7005,,0.02,0.005,0.001,0.001
293.22,1.242,0.7005,,0.02,0.005,0.001,0.001
303.12,1.492,0.7005,,0.02,0.005,0.001,0.001
313.16,1.757,0.7005,,0.02,0.005,0.001,0.001
323.22,2.042,0.7005,,0.02,0.005,0.001,0.001
333.08,2.342,0.7005,,0.02,0.005,0.001,0.001
343.08,2.647,0.7005,,0.02,0.005,0.001,0.001
353.53,2.992,0.7005,,0.02,0.005,0.001,0.001
363.85,3.322,0.7005,,0.02,0.005,0.001,0.001
373.74,3.652,0.7005,,0.02,0.005,0.001,0.001
383.88,3.977,0.7005,,0.02,0.005,0.001,0.001
393.79,4.323,0.7005,,0.02,0.005,0.001,0.001
403.77,4.638,0.7005,,0.02,0.005,0.001,0.001
413.76,4.958,0.7005,,0.02,0.005,0.001,0.001
423.73,5.273,0.7005,,0.02,0.005,0.001,0.001
433.91,5.568,0.7005,,0.02,0.005,0.001,0.001
443.86,5.873,0.7005,,0.02,0.005,0.001,0.001
453.84,6.143,0.7005,,0.02,0.005,0.001,0.001
463.73,6.408,0.7005,,0.02,0.005,0.001,0.001
473.48,6.645,0.7005,,0.02,0.005,0.001,0.001
483.53,6.859,0.7005,,0.02,0.005,0.001,0.001
493.4,7.024,0.7005,,0.02,0.005,0.001,0.001
503.0,7.121,0.7005,,0.02,0.005,0.001,0.001
513.14,7.144,0.7005,,0.02,0.005,0.001,0.001
