"T, K","P, MPa",X,Y,T Err,P Err,X Err,Y Err
297.86,0.242,0.0,0.0,+-0.02,+-0.0003,+-0.005,
297.86,0.2579,0.025,0.068,+-0.02,+-0.0003,+-0.005,
297.86,0.2756,0.058,0.145,+-0.02,+-0.0003,+-0.005,
297.86,0.3123,0.124,0.285,+-0.02,+-0.0003,+-0.005,
297.86,0.354,0.208,0.406,+-0.02,+-0.0003,+-0.005,
297.86,0.376,0.265,0.461,+-0.02,+-0.0003,+-0.005,
297.86,0.4135,0.36,0.554,+-0.02,+-0.0003,+-0.005,
297.86,0.442,0.437,0.622,+-0.02,+-0.0003,+-0.005,
297.86,0.469,0.518,0.681,+-0.02,+-0.0003,+-0.005,
297.86,0.4867,0.57,0.713,+-0.02,+-0.0003,+-0.005,
297.86,0.5134,0.681,0.792,+-0.02,+-0.0003,+-0.005,
297.86,0.5452,0.82,0.875,+-0.02,+-0.0003,+-0.005,
297.86,0.5593,0.88,0.914,+-0.02,+-0.0003,+-0.005,
297.86,0.5789,0.975,0.982,+-0.02,+-0.0003,+-0.005,
297.86,0.5857,1.0,1.0,+-0.02,+-0.0003,+-0.01,
