"T, K","P, kPa",X,Y,T Err,P Err,X Err,Y Err
338.15,0.022,0.0,0.0,+-0.01,+-0.03,+-0.0005,+-0.0005
338.15,55.839,0.305,0.9997,+-0.01,+-0.03,+-0.0005,+-0.0005
338.15,59.646,0.379,0.9998,+-0.01,+-0.03,+-0.0005,+-0.0005
338.15,63.361,0.443,0.9998,+-0.01,+-0.03,+-0.0005,+-0.0005
338.15,64.743,0.491,0.9998,+-0.01,+-0.03,+-0.0005,+-0.0005
338.15,65.563,0.548,0.9998,+-0.01,+-0.03,+-0.0005,+-0.0005
338.15,66.248,0.61,0.9998,+-0.01,+-0.03,+-0.0005,+-0.0005
338.15,66.627,0.668,0.9998,+-0.01,+-0.03,+-0.0005,+-0.0005
338.15,66.88,0.737,0.9998,+-0.01,+-0.03,+-0.0005,+-0.0005
338.15,66.968,0.786,0.9998,+-0.01,+-0.03,+-0.0005,+-0.0005
338.15,67.244,0.847,0.9998,+-0.01,+-0.03,+-0.0005,+-0.0005
338.15,69.956,1.0,1.0,+-0.01,+-0.03,+-0.0005,+-0.0005
