"T, K","P, MPa",X,Y,T Err,P Err,X Err,Y Err
354.3,245.5,0.492,,+-0.7,+-1,,
348.6,220.0,0.492,,+-0.7,+-1,,
343.0,195.0,0.492,,+-0.7,+-1,,
336.3,165.5,0.492,,+-0.7,+-1,,
329.6,135.0,0.492,,+-0.7,+-1,,
322.8,100.0,0.492,,+-0.7,+-1,,
321.2,90.0,0.492,,+-0.7,+-1,,
320.0,80.0,0.492,,+-0.7,+-1,,
319.5,73.5,0.492,,+-0.7,+-1,,
319.5,68.0,0.492,,+-0.7,+-1,,
321.6,50.0,0.492,,+-0.7,+-1,,
328.8,37.0,0.492,,+-0.7,+-1,,
339.4,29.7,0.492,,+-0.7,+-1,,
346.7,26.9,0.492,,+-0.7,+-1,,
355.6,24.3,0.492,,+-0.7,+-1,,
