"T, K","P, Torr",X,Y,T Err,P Err,X Err,Y Err
343.15,620.65,0.1266,0.1319,0.01,+-0.05,,
343.15,621.8,0.1588,0.1657,0.01,+-0.05,,
343.15,622.69,0.1819,0.19,0.01,+-0.05,,
343.15,626.26,0.2492,0.2608,0.01,+-0.05,,
343.15,629.89,0.3349,0.3509,0.01,+-0.05,,
343.15,633.5,0.3976,0.4165,0.01,+-0.05,,
343.15,635.37,0.4277,0.4479,0.01,+-0.05,,
343.15,638.43,0.4741,0.496,0.01,+-0.05,,
343.15,642.94,0.5373,0.561,0.01,+-0.05,,
343.15,652.57,0.6571,0.6818,0.01,+-0.05,,
343.15,662.13,0.7617,0.7839,0.01,+-0.05,,
343.15,697.28,0.9257,0.9358,0.01,+-0.05,,
