"T, deg.C","P, Pa",X,Y,T Err,P Err,X Err,Y Err
25,7852,0.0,0.0,,,,
25,8299,0.0964,0.1459,,,,
25,8843,0.2018,0.2981,,,,
25,9381,0.2901,0.4169,,,,
25,10081,0.3924,0.5422,,,,
25,10880,0.4973,0.6556,,,,
25,11020,0.5204,0.6785,,,,
25,11732,0.6066,0.7573,,,,
25,12601,0.7087,0.8376,,,,
25,13494,0.8102,0.9046,,,,
25,14454,0.9156,0.962,,,,
25,15216,1.0,1.0,,,,
