"T, K","P, mmHg",X,Y,T Err,P Err,X Err,Y Err
343.9,760,0.086,0.265,+-0.05,0.2%,,
342.9,760,0.112,0.282,+-0.05,0.2%,,
342.7,760,0.12,0.308,+-0.05,0.2%,,
342.2,760,0.158,0.335,+-0.05,0.2%,,
341.6,760,0.2,0.368,+-0.05,0.2%,,
340.8,760,0.308,0.41,+-0.05,0.2%,,
340.8,760,0.442,0.446,+-0.05,0.2%,,
341.2,760,0.604,0.505,+-0.05,0.2%,,
342.7,760,0.77,0.59,+-0.05,0.2%,,
343.5,760,0.815,0.628,+-0.05,0.2%,,
344.0,760,0.841,0.665,+-0.05,0.2%,,
345.8,760,0.898,0.744,+-0.05,0.2%,,
346.9,760,0.924,0.782,+-0.05,0.2%,,
