"T, deg.C","P, kPa",X,Y,T Err,P Err,X Err,Y Err
65.5,30.0,0.028,0.057,+-0.02,+-0.1,0.005,0.005
63.8,30.0,0.046,0.144,+-0.02,+-0.1,0.005,0.005
62.1,30.0,0.081,0.227,+-0.02,+-0.1,0.005,0.005
59.0,30.0,0.249,0.444,+-0.02,+-0.1,0.005,0.005
58.7,30.0,0.246,0.453,+-0.02,+-0.1,0.005,0.005
58.2,30.0,0.301,0.471,+-0.02,+-0.1,0.005,0.005
58.0,30.0,0.347,0.497,+-0.02,+-0.1,0.005,0.005
57.7,30.0,0.427,,+-0.02,+-0.1,0.005,0.005
57.9,30.0,0.543,0.546,+-0.02,+-0.1,0.005,0.005
57.5,30.0,0.605,0.548,+-0.02,+-0.1,0.005,0.005
60.2,30.0,0.974,,+-0.02,+-0.1,0.005,0.005
61.1,30.0,0.983,,+-0.02,+-0.1,0.005,0.005
62.0,30.0,0.987,,+-0.02,+-0.1,0.005,0.005
63.1,30.0,0.99,,+-0.02,+-0.1,0.005,0.005
66.0,30.0,0.996,,+-0.02,+-0.1,0.005,0.005
67.0,30.0,0.997,,+-0.02,+-0.1,0.005,0.005
68.0,30.0,0.998,,+-0.02,+-0.1,0.005,0.005
68.9,30.0,0.999,,+-0.02,+-0.1,0.005,0.005
