"T, K","P, Torr",X,Y,T Err,P Err,X Err,Y Err
313.15,124.8,0.014,0.59,+-0.02,,,
313.15,159.3,0.022,0.694,+-0.02,,,
313.15,201.2,0.034,0.769,+-0.02,,,
313.15,210.3,0.037,0.778,+-0.02,,,
313.15,233.8,0.046,0.8,+-0.02,,,
313.15,246.9,0.052,0.812,+-0.02,,,
313.15,263.4,0.062,0.825,+-0.02,,,
313.15,273.9,0.072,0.835,+-0.02,,,
313.15,281.3,0.083,0.837,+-0.02,,,
313.15,289.0,0.103,0.841,+-0.02,,,
313.15,292.5,0.131,0.841,+-0.02,,,
313.15,296.2,0.211,0.845,+-0.02,,,
313.15,298.5,0.398,0.845,+-0.02,,,
313.15,300.1,0.489,0.846,+-0.02,,,
313.15,302.9,0.615,0.852,+-0.02,,,
313.15,305.0,0.688,0.857,+-0.02,,,
313.15,306.3,0.752,0.858,+-0.02,,,
313.15,307.5,0.761,0.864,+-0.02,,,
313.15,308.6,0.795,0.868,+-0.02,,,
313.15,310.3,0.841,0.88,+-0.02,,,
313.15,310.8,0.871,0.888,+-0.02,,,
313.15,310.9,0.913,0.909,+-0.02,,,
313.15,309.6,0.959,0.946,+-0.02,,,
