"T, deg.C","P, kPa",X,Y,T Err,P Err,X Err,Y Err
,57.8,0.005,0.0012,0,+-0.05,+-0.001,+-0.001
,57.6,0.01,0.00203,0,+-0.05,+-0.001,+-0.001
,57.2,0.02,0.00351,0,+-0.05,+-0.001,+-0.001
,56.5,0.04,0.0063,0,+-0.05,+-0.001,+-0.001
,55.5,0.08,0.0076,0,+-0.05,+-0.001,+-0.001
,54.8,0.12,0.0092,0,+-0.05,+-0.001,+-0.001
,54.0,0.18,0.0104,0,+-0.05,+-0.001,+-0.001
,51.6,0.3,0.0122,0,+-0.05,+-0.001,+-0.001
,45.0,0.5,0.017,0,+-0.05,+-0.001,+-0.001
,33.4,0.7,0.0271,0,+-0.05,+-0.001,+-0.001
,20.1,0.85,0.0544,0,+-0.05,+-0.001,+-0.001
,14.5,0.9,0.0793,0,+-0.05,+-0.001,+-0.001
,8.3,0.95,0.142,0,+-0.05,+-0.001,+-0.001
,4.15,0.98,0.289,0,+-0.05,+-0.001,+-0.001
,2.72,0.99,0.46,0,+-0.05,+-0.001,+-0.001
