"T, K","P, MPa",X,Y,T Err,P Err,X Err,Y Err
323.15,2.085,0.462,0.9948,0.002,0.001,,
323.15,2.645,0.5382,0.9952,0.002,0.001,,
323.15,2.862,0.5632,0.9952,0.002,0.001,,
323.15,3.677,0.6526,0.9958,0.002,0.001,,
323.15,4.203,0.6946,0.9957,0.002,0.001,,
323.15,4.255,0.7015,0.996,0.002,0.001,,
323.15,4.768,0.7462,0.9958,0.002,0.001,,
323.15,4.828,0.7504,0.995,0.002,0.001,,
323.15,5.355,0.7875,0.9948,0.002,0.001,,
323.15,6.009,0.8293,0.9951,0.002,0.001,,
323.15,6.394,0.8511,0.9952,0.002,0.001,,
323.15,6.944,0.8818,0.9954,0.002,0.001,,
323.15,7.144,0.8916,0.9952,0.002,0.001,,
323.15,7.873,0.9258,0.9939,0.002,0.001,,
323.15,8.287,0.9431,0.9938,0.002,0.001,,
323.15,8.723,0.9596,0.9925,0.002,0.001,,
323.15,8.908,0.9673,0.9911,0.002,0.001,,
323.15,9.039,0.9729,0.9904,0.002,0.001,,
323.15,9.168,0.9801,0.9872,0.002,0.001,,
