"T, K","P, bar",X,Y,T Err,P Err,X Err,Y Err
306.42,49.136,0.9962,,+-0.03,+-0.07,,
308.21,50.991,0.9967,,+-0.03,+-0.07,,
308.49,51.19,0.9969,,+-0.03,+-0.07,,
308.35,51.135,0.9955,,+-0.03,+-0.07,,
245.08,11.479,0.9885,,+-0.03,+-0.07,,
303.08,46.095,0.9947,,+-0.03,+-0.07,,
303.45,46.512,0.9942,,+-0.03,+-0.07,,
298.3,41.967,0.9925,,+-0.03,+-0.07,,
293.15,37.61,0.9918,,+-0.03,+-0.07,,
289.52,33.892,0.9917,,+-0.03,+-0.07,,
281.04,28.933,0.9914,,+-0.03,+-0.07,,
275.06,25.344,0.9912,,+-0.03,+-0.07,,
265.58,19.619,0.991,,+-0.03,+-0.07,,
253.66,14.725,0.9897,,+-0.03,+-0.07,,
249.15,13.079,0.9892,,+-0.03,+-0.07,,
