"T, deg.C","P, mmHg",X,Y,T Err,P Err,X Err,Y Err
82.3,760,0.0,0.0,0.05,+-0.6,,
81.06,760,0.0135,0.066,0.05,+-0.6,,
76.02,760,0.084,0.302,0.05,+-0.6,,
73.98,760,0.14,0.378,0.05,+-0.6,,
72.48,760,0.18,0.437,0.05,+-0.6,,
72.78,760,0.1913,0.451,0.05,+-0.6,,
69.93,760,0.282,0.544,0.05,+-0.6,,
69.9,760,0.3445,0.575,0.05,+-0.6,,
68.18,760,0.385,0.621,0.05,+-0.6,,
68.02,760,0.429,0.626,0.05,+-0.6,,
67.79,760,0.436,0.649,0.05,+-0.6,,
67.87,760,0.444,0.644,0.05,+-0.6,,
67.56,760,0.477,0.652,0.05,+-0.6,,
67.53,760,0.478,0.658,0.05,+-0.6,,
67.19,760,0.52,0.669,0.05,+-0.6,,
66.77,760,0.584,0.693,0.05,+-0.6,,
66.33,760,0.658,0.726,0.05,+-0.6,,
66.2,760,0.732,0.757,0.05,+-0.6,,
66.18,760,0.747,0.764,0.05,+-0.6,,
66.18,760,0.754,0.767,0.05,+-0.6,,
66.17,760,0.7815,0.7825,0.05,+-0.6,,
66.31,760,0.846,0.821,0.05,+-0.6,,
66.56,760,0.877,0.84,0.05,+-0.6,,
66.33,760,0.891,0.847,0.05,+-0.6,,
66.57,760,0.91,0.868,0.05,+-0.6,,
66.77,760,0.918,0.881,0.05,+-0.6,,
67.09,760,0.955,0.915,0.05,+-0.6,,
67.73,760,0.989,0.964,0.05,+-0.6,,
68.5,760,1.0,1.0,0.05,+-0.6,,
