"T, deg.F","P, psi",X,Y,T Err,P Err,X Err,Y Err
160,250,0.025,0.904,+-0.2,+-2,+-0.002,+-0.002
160,500,0.051,0.942,+-0.2,+-2,+-0.002,+-0.002
160,1000,0.099,0.964,+-0.2,+-2,+-0.002,+-0.002
160,1500,0.144,0.973,+-0.2,+-2,+-0.002,+-0.002
160,2000,0.182,0.973,+-0.2,+-2,+-0.002,+-0.002
160,2500,0.211,0.972,+-0.2,+-2,+-0.002,+-0.002
160,3000,0.244,0.964,+-0.2,+-2,+-0.002,+-0.002
160,3500,0.278,0.959,+-0.2,+-2,+-0.002,+-0.002
160,4000,0.311,0.958,+-0.2,+-2,+-0.002,+-0.002
160,4500,0.33,0.96,+-0.2,+-2,+-0.002,+-0.002
160,5000,0.391,0.958,+-0.2,+-2,+-0.002,+-0.002
