"T, K","P, MPa",X,Y,T Err,P Err,X Err,Y Err
422.53,0.468,0.0,0.0,0.1,,+-0.005,+-0.005
422.41,0.563,0.0192,0.1303,0.1,,+-0.005,+-0.005
422.44,0.625,0.0348,0.224,0.1,,+-0.005,+-0.005
422.48,0.642,0.0374,0.2429,0.1,,+-0.005,+-0.005
422.46,0.708,0.0512,0.3216,0.1,,+-0.005,+-0.005
422.42,0.881,0.0848,0.4727,0.1,,+-0.005,+-0.005
422.54,1.105,0.1297,0.5913,0.1,,+-0.005,+-0.005
422.7,1.832,0.222,0.762,0.1,,+-0.005,+-0.005
422.53,2.669,0.3078,0.8279,0.1,,+-0.005,+-0.005
422.56,3.671,0.3934,0.8701,0.1,,+-0.005,+-0.005
422.73,4.989,0.4876,0.8951,0.1,,+-0.005,+-0.005
422.7,7.01,0.6098,0.914,0.1,,+-0.005,+-0.005
422.8,8.223,0.678,0.9169,0.1,,+-0.005,+-0.005
422.78,10.214,0.7852,0.9163,0.1,,+-0.005,+-0.005
421.74,11.396,0.8588,0.9429,0.1,,+-0.005,+-0.005
422.45,11.473,0.8714,0.914,0.1,,+-0.005,+-0.005
422.77,11.763,0.874,0.9153,0.1,,+-0.005,+-0.005
