"T, deg.C","P, Torr",X,Y,T Err,P Err,X Err,Y Err
80.0,687.0,0.029,0.01,+-0.1,+-0.5,+-0.002,+-0.010
80.0,677.8,0.052,0.011,+-0.1,+-0.5,+-0.002,+-0.010
80.0,671.6,0.069,0.014,+-0.1,+-0.5,+-0.002,+-0.010
80.0,665.3,0.081,0.019,+-0.1,+-0.5,+-0.002,+-0.010
80.0,664.4,0.088,0.021,+-0.1,+-0.5,+-0.002,+-0.010
80.0,656.5,0.115,0.026,+-0.1,+-0.5,+-0.002,+-0.010
80.0,651.1,0.125,0.03,+-0.1,+-0.5,+-0.002,+-0.010
80.0,645.8,0.155,0.02,+-0.1,+-0.5,+-0.002,+-0.010
80.0,643.0,0.175,0.024,+-0.1,+-0.5,+-0.002,+-0.010
80.0,604.5,0.299,0.035,+-0.1,+-0.5,+-0.002,+-0.010
80.0,604.4,0.313,0.045,+-0.1,+-0.5,+-0.002,+-0.010
80.0,593.5,0.327,0.047,+-0.1,+-0.5,+-0.002,+-0.010
80.0,577.3,0.385,0.047,+-0.1,+-0.5,+-0.002,+-0.010
80.0,569.9,0.48,0.053,+-0.1,+-0.5,+-0.002,+-0.010
80.0,555.7,0.482,0.05,+-0.1,+-0.5,+-0.002,+-0.010
80.0,531.4,0.633,0.059,+-0.1,+-0.5,+-0.002,+-0.010
