"T, deg.C","P, bar",X,Y,T Err,P Err,X Err,Y Err
30.0,4.04,0.0,0.0,,,,
30.0,4.18,0.0593,0.0925,,,,
30.0,4.47,0.2092,0.2661,,,,
30.0,4.6,0.325,0.3708,,,,
30.0,4.66,0.453,0.4744,,,,
30.0,4.67,0.5042,0.5089,,,,
30.0,4.68,0.5447,0.5411,,,,
30.0,4.67,0.5476,0.5442,,,,
30.0,4.65,0.6152,0.599,,,,
30.0,4.63,0.6631,0.6432,,,,
30.0,4.6,0.7003,0.6679,,,,
30.0,4.58,0.742,0.7029,,,,
30.0,4.54,0.7731,0.7291,,,,
30.0,4.49,0.8097,0.7617,,,,
30.0,4.42,0.8543,0.8121,,,,
30.0,4.33,0.8969,0.8633,,,,
30.0,4.3,0.9145,0.8812,,,,
30.0,4.2,0.9526,0.9362,,,,
30.0,4.13,0.9834,0.9733,,,,
30.0,4.08,1.0,1.0,,,,
