"T, K","P, kPa",X,Y,T Err,P Err,X Err,Y Err
373.15,34.35,0.0,0.0,+-0.1,+-0.01,,
373.15,35.93,0.03,0.075,+-0.1,+-0.01,,
373.15,38.36,0.074,0.173,+-0.1,+-0.01,,
373.15,42.1,0.126,0.279,+-0.1,+-0.01,,
373.15,45.0,0.177,0.369,+-0.1,+-0.01,,
373.15,48.77,0.226,0.447,+-0.1,+-0.01,,
373.15,52.54,0.291,0.539,+-0.1,+-0.01,,
373.15,56.26,0.349,0.599,+-0.1,+-0.01,,
373.15,60.87,0.418,0.67,+-0.1,+-0.01,,
373.15,63.1,0.467,0.717,+-0.1,+-0.01,,
373.15,67.09,0.53,0.765,+-0.1,+-0.01,,
373.15,72.15,0.606,0.82,+-0.1,+-0.01,,
373.15,72.97,0.618,0.827,+-0.1,+-0.01,,
373.15,77.0,0.676,0.865,+-0.1,+-0.01,,
373.15,80.35,0.727,0.893,+-0.1,+-0.01,,
373.15,83.8,0.778,0.915,+-0.1,+-0.01,,
373.15,87.5,0.838,0.942,+-0.1,+-0.01,,
373.15,90.0,0.881,0.959,+-0.1,+-0.01,,
373.15,91.5,0.911,0.969,+-0.1,+-0.01,,
373.15,92.5,0.94,0.98,+-0.1,+-0.01,,
373.15,93.85,0.973,0.991,+-0.1,+-0.01,,
373.15,95.18,1.0,1.0,+-0.1,+-0.01,,
