"T, K","P, bar",X,Y,T Err,P Err,X Err,Y Err
348.15,0.0683,0.0,0.0,+-0.01,+-0.00013,+-0.001,+-0.001
348.15,0.2888,0.22,0.812,+-0.01,+-0.00013,+-0.001,+-0.001
348.2,0.3336,0.274,0.843,+-0.01,+-0.00013,+-0.001,+-0.001
348.18,0.3909,0.35,0.87,+-0.01,+-0.00013,+-0.001,+-0.001
348.16,0.4528,0.442,0.9,+-0.01,+-0.00013,+-0.001,+-0.001
348.16,0.5085,0.53,0.927,+-0.01,+-0.00013,+-0.001,+-0.001
348.18,0.5681,0.629,0.945,+-0.01,+-0.00013,+-0.001,+-0.001
348.17,0.632,0.74,0.96,+-0.01,+-0.00013,+-0.001,+-0.001
348.16,0.6866,0.83,0.977,+-0.01,+-0.00013,+-0.001,+-0.001
348.17,0.7261,0.908,0.985,+-0.01,+-0.00013,+-0.001,+-0.001
348.17,0.7823,0.986,0.996,+-0.01,+-0.00013,+-0.001,+-0.001
348.15,0.7937,1.0,1.0,+-0.01,+-0.00013,+-0.001,+-0.001
358.15,0.1044,0.0,0.0,+-0.01,+-0.00013,+-0.001,+-0.001
358.16,0.2836,0.135,0.7,+-0.01,+-0.00013,+-0.001,+-0.001
358.17,0.3592,0.188,0.761,+-0.01,+-0.00013,+-0.001,+-0.001
358.17,0.4622,0.28,0.825,+-0.01,+-0.00013,+-0.001,+-0.001
358.16,0.5341,0.354,0.854,+-0.01,+-0.00013,+-0.001,+-0.001
358.15,0.6149,0.44,0.891,+-0.01,+-0.00013,+-0.001,+-0.001
358.18,0.6927,0.54,0.914,+-0.01,+-0.00013,+-0.001,+-0.001
358.15,0.771,0.627,0.935,+-0.01,+-0.00013,+-0.001,+-0.001
358.16,0.7887,0.654,0.94,+-0.01,+-0.00013,+-0.001,+-0.001
358.15,0.8451,0.717,0.954,+-0.01,+-0.00013,+-0.001,+-0.001
358.16,0.9339,0.828,0.979,+-0.01,+-0.00013,+-0.001,+-0.001
358.18,1.009,0.919,0.989,+-0.01,+-0.00013,+-0.001,+-0.001
358.15,1.0791,1.0,1.0,+-0.01,+-0.00013,+-0.001,+-0.001
