"T, deg.C","P, MPa",X,Y,T Err,P Err,X Err,Y Err
0.0,0.0039,0.0,0.0,+-0.1,+-0.15%,,
0.0,0.0268,0.0173,0.717,+-0.1,+-0.15%,,
0.0,0.0787,0.069,0.8976,+-0.1,+-0.15%,,
0.0,0.1111,0.1615,0.9371,+-0.1,+-0.15%,,
0.0,0.1443,0.3309,0.956,+-0.1,+-0.15%,,
0.0,0.1558,0.5463,0.9715,+-0.1,+-0.15%,,
0.0,0.1564,0.7819,0.9851,+-0.1,+-0.15%,,
0.0,0.158,0.8509,0.9864,+-0.1,+-0.15%,,
0.0,0.1588,0.9742,0.9889,+-0.1,+-0.15%,,
0.0,0.1589,0.9845,0.9896,+-0.1,+-0.15%,,
0.0,0.1591,0.9906,0.9906,+-0.1,+-0.15%,,
0.0,0.1588,0.9935,0.9908,+-0.1,+-0.15%,,
0.0,0.1581,0.9969,0.9925,+-0.1,+-0.15%,,
0.0,0.1577,0.9989,0.9954,+-0.1,+-0.15%,,
0.0,0.1576,0.9995,0.9974,+-0.1,+-0.15%,,
0.0,0.1574,1.0,1.0,+-0.1,+-0.15%,,
