"T, K","P, kPa",X,Y,T Err,P Err,X Err,Y Err
353.55,20,0.0,0.0,0.1,0.01,0.001,0.001
350.75,20,0.007,0.108,0.1,0.01,0.001,0.001
347.95,20,0.018,0.224,0.1,0.01,0.001,0.001
343.45,20,0.039,0.373,0.1,0.01,0.001,0.001
340.35,20,0.062,0.449,0.1,0.01,0.001,0.001
337.85,20,0.093,0.508,0.1,0.01,0.001,0.001
336.05,20,0.129,0.545,0.1,0.01,0.001,0.001
335.25,20,0.159,0.57,0.1,0.01,0.001,0.001
334.55,20,0.194,0.599,0.1,0.01,0.001,0.001
333.95,20,0.235,0.608,0.1,0.01,0.001,0.001
333.45,20,0.278,0.621,0.1,0.01,0.001,0.001
333.05,20,0.325,0.634,0.1,0.01,0.001,0.001
332.65,20,0.366,0.649,0.1,0.01,0.001,0.001
332.35,20,0.415,0.657,0.1,0.01,0.001,0.001
332.15,20,0.467,0.666,0.1,0.01,0.001,0.001
331.95,20,0.506,0.675,0.1,0.01,0.001,0.001
331.65,20,0.555,0.689,0.1,0.01,0.001,0.001
331.45,20,0.604,0.701,0.1,0.01,0.001,0.001
331.35,20,0.647,0.716,0.1,0.01,0.001,0.001
331.25,20,0.693,0.733,0.1,0.01,0.001,0.001
331.15,20,0.74,0.754,0.1,0.01,0.001,0.001
331.15,20,0.785,0.777,0.1,0.01,0.001,0.001
331.25,20,0.825,0.805,0.1,0.01,0.001,0.001
331.35,20,0.864,0.834,0.1,0.01,0.001,0.001
331.55,20,0.899,0.866,0.1,0.01,0.001,0.001
331.85,20,0.931,0.901,0.1,0.01,0.001,0.001
332.05,20,0.956,0.933,0.1,0.01,0.001,0.001
332.35,20,0.976,0.961,0.1,0.01,0.001,0.001
332.55,20,0.988,0.979,0.1,0.01,0.001,0.001
332.75,20,1.0,1.0,0.1,0.01,0.001,0.001
