"T, deg.F","P, psi",X,Y,T Err,P Err,X Err,Y Err
100,250,0.026,0.958,+-0.2,+-2,+-0.002,+-0.002
100,500,0.053,0.981,+-0.2,+-2,+-0.002,+-0.002
100,1000,0.101,0.983,+-0.2,+-2,+-0.002,+-0.002
100,1500,0.137,0.989,+-0.2,+-2,+-0.002,+-0.002
100,2000,0.155,0.985,+-0.2,+-2,+-0.002,+-0.002
100,2500,0.19,0.988,+-0.2,+-2,+-0.002,+-0.002
100,3000,0.218,0.986,+-0.2,+-2,+-0.002,+-0.002
100,3500,0.253,0.984,+-0.2,+-2,+-0.002,+-0.002
100,4000,0.29,0.983,+-0.2,+-2,+-0.002,+-0.002
100,4500,0.33,0.975,+-0.2,+-2,+-0.002,+-0.002
100,5000,0.359,0.98,+-0.2,+-2,+-0.002,+-0.002
