"T, K","P, bar",X,Y,T Err,P Err,X Err,Y Err
310.93,4.97,0.0,0.0,0.025,+-0.03,,
310.93,5.73,0.0095,0.115,0.025,+-0.03,,
310.93,7.79,0.0349,0.33,0.025,+-0.03,,
310.93,9.54,0.0567,0.444,0.025,+-0.03,,
310.93,12.07,0.0887,0.5496,0.025,+-0.03,,
310.93,16.76,0.1479,0.6661,0.025,+-0.03,,
310.93,21.54,0.2132,0.7329,0.025,+-0.03,,
310.93,25.84,0.2715,0.7738,0.025,+-0.03,,
310.93,29.59,0.322,0.7993,0.025,+-0.03,,
310.93,33.65,0.38,0.822,0.025,+-0.03,,
310.93,38.34,0.447,0.8403,0.025,+-0.03,,
310.93,41.62,0.4962,0.8511,0.025,+-0.03,,
310.93,44.56,0.538,0.8601,0.025,+-0.03,,
310.93,47.53,0.582,0.8687,0.025,+-0.03,,
310.93,50.37,0.624,0.876,0.025,+-0.03,,
310.93,52.5,0.653,0.8816,0.025,+-0.03,,
310.93,54.97,0.689,0.8873,0.025,+-0.03,,
310.93,58.19,0.734,0.8952,0.025,+-0.03,,
310.93,60.38,0.764,0.902,0.025,+-0.03,,
310.93,64.07,0.8095,0.91,0.025,+-0.03,,
310.93,68.29,0.859,0.918,0.025,+-0.03,,
310.93,70.42,0.8823,0.922,0.025,+-0.03,,
310.93,72.05,0.9004,0.923,0.025,+-0.03,,
