"T, deg.C","P, mmHg",X,Y,T Err,P Err,X Err,Y Err
74.3,760,0.033,0.182,+-0.05,+-3,,
68.4,760,0.085,0.35,+-0.05,+-3,,
64.9,760,0.142,0.443,+-0.05,+-3,,
59.7,760,0.283,0.575,+-0.05,+-3,,
59.0,760,0.313,0.594,+-0.05,+-3,,
57.9,760,0.373,0.625,+-0.05,+-3,,
56.8,760,0.478,0.664,+-0.05,+-3,,
56.7,760,0.507,0.673,+-0.05,+-3,,
56.0,760,0.616,0.714,+-0.05,+-3,,
55.8,760,0.688,0.744,+-0.05,+-3,,
55.7,760,0.722,0.759,+-0.05,+-3,,
55.5,760,0.781,0.789,+-0.05,+-3,,
55.55,760,0.835,0.82,+-0.05,+-3,,
55.8,760,0.94,0.914,+-0.05,+-3,,
