"T, K","P, bar",X,Y,T Err,P Err,X Err,Y Err
310.93,4.34,0.0136,0.1632,+-0.025,+-0.03,,
310.93,5.01,0.0261,0.2656,+-0.025,+-0.03,,
310.93,6.03,0.0459,0.3804,+-0.025,+-0.03,,
310.93,8.69,0.0989,0.5569,+-0.025,+-0.03,,
310.93,11.24,0.1542,0.6522,+-0.025,+-0.03,,
310.93,13.52,0.2059,0.7072,+-0.025,+-0.03,,
310.93,16.06,0.2684,0.7513,+-0.025,+-0.03,,
310.93,18.64,0.3372,0.7843,+-0.025,+-0.03,,
310.93,21.24,0.4091,0.8119,+-0.025,+-0.03,,
310.93,23.41,0.4727,0.8307,+-0.025,+-0.03,,
310.93,25.73,0.5397,0.8485,+-0.025,+-0.03,,
310.93,27.6,0.5957,0.8608,+-0.025,+-0.03,,
310.93,29.36,0.6462,0.8715,+-0.025,+-0.03,,
310.93,31.38,0.7008,0.8827,+-0.025,+-0.03,,
310.93,33.54,0.7585,0.8949,+-0.025,+-0.03,,
310.93,35.63,0.8099,0.9072,+-0.025,+-0.03,,
310.93,37.53,0.8516,0.9179,+-0.025,+-0.03,,
310.93,39.07,0.8843,0.9235,+-0.025,+-0.03,,
310.93,40.02,0.904,0.9305,+-0.025,+-0.03,,
310.93,40.61,0.9171,0.9311,+-0.025,+-0.03,,
