"T, K","P, MPa",X,Y,T Err,P Err,X Err,Y Err
230.0,0.701,0.0,0.0,0.1%,0.1%,,
230.0,0.727,0.0096,0.0345,0.1%,0.1%,,
230.0,0.799,0.0485,0.1513,0.1%,0.1%,,
230.0,0.841,0.0745,0.1982,0.1%,0.1%,,
230.0,0.883,0.1035,0.2452,0.1%,0.1%,,
230.0,0.921,0.128,0.282,0.1%,0.1%,,
230.0,0.948,0.1548,0.3225,0.1%,0.1%,,
230.0,1.08,0.33,0.4782,0.1%,0.1%,,
230.0,1.112,0.4092,0.5227,0.1%,0.1%,,
230.0,1.122,0.4422,0.5402,0.1%,0.1%,,
230.0,1.138,0.5195,0.575,0.1%,0.1%,,
230.0,1.145,0.6844,0.6484,0.1%,0.1%,,
230.0,1.1,0.8438,0.7403,0.1%,0.1%,,
230.0,1.023,0.9326,0.8389,0.1%,0.1%,,
230.0,0.936,0.9828,0.9451,0.1%,0.1%,,
230.0,0.891,1.0,1.0,0.1%,0.1%,,
