"T, K","P, MPa",X,Y,T Err,P Err,X Err,Y Err
333.26,0.388,0.2126,,0.02,0.01,,
343.26,0.482,0.2126,,0.02,0.01,,
353.21,0.59,0.2126,,0.02,0.01,,
363.28,0.713,0.2126,,0.02,0.01,,
373.24,0.853,0.2126,,0.02,0.01,,
383.32,1.011,0.2126,,0.02,0.01,,
393.26,1.185,0.2126,,0.02,0.01,,
403.35,1.381,0.2126,,0.02,0.01,,
413.34,1.599,0.2126,,0.02,0.01,,
423.36,1.844,0.2126,,0.02,0.01,,
433.35,2.116,0.2126,,0.02,0.01,,
443.34,2.421,0.2126,,0.02,0.01,,
453.34,2.76,0.2126,,0.02,0.01,,
463.31,3.139,0.2126,,0.02,0.01,,
473.3,3.555,0.2126,,0.02,0.01,,
483.27,4.015,0.2126,,0.02,0.01,,
493.15,4.51,0.2126,,0.02,0.01,,
503.15,5.026,0.2126,,0.02,0.01,,
508.14,5.249,0.2126,,0.02,0.01,,
511.1,5.298,0.2126,,0.02,0.01,,
