"T, deg.C","P, kPa",X,Y,T Err,P Err,X Err,Y Err
95.0,12.71,0.0,0.0,,,,
95.0,15.51,0.0156,0.0046,,,,
95.0,15.16,0.0413,0.0095,,,,
95.0,14.58,0.0834,0.0221,,,,
95.0,13.7,0.1475,0.052,,,,
95.0,12.51,0.2345,0.1212,,,,
95.0,11.54,0.3223,0.2483,,,,
95.0,11.34,0.4248,0.4732,,,,
95.0,12.8,0.5153,0.7008,,,,
95.0,15.39,0.5872,0.8415,,,,
95.0,19.65,0.6619,0.9231,,,,
95.0,22.17,0.6959,0.9465,,,,
95.0,28.7,0.775,0.9792,,,,
95.0,36.21,0.8583,0.9928,,,,
95.0,41.86,0.9228,0.9977,,,,
95.0,45.66,0.9681,0.9999,,,,
95.0,47.48,0.9901,0.9999,,,,
95.0,48.18,1.0,1.0,,,,
