"T, deg.C","P, mmHg",X,Y,T Err,P Err,X Err,Y Err
56.4,760,0.0,0.0,+-0.1,+-0.5,,
56.3,760,0.021,0.032,+-0.1,+-0.5,,
56.0,760,0.04,0.048,+-0.1,+-0.5,,
55.8,760,0.07,0.091,+-0.1,+-0.5,,
55.1,760,0.13,0.172,+-0.1,+-0.5,,
54.8,760,0.157,0.198,+-0.1,+-0.5,,
54.2,760,0.207,0.264,+-0.1,+-0.5,,
53.5,760,0.276,0.346,+-0.1,+-0.5,,
52.3,760,0.39,0.474,+-0.1,+-0.5,,
51.4,760,0.469,0.547,+-0.1,+-0.5,,
51.0,760,0.537,0.62,+-0.1,+-0.5,,
50.1,760,0.655,0.723,+-0.1,+-0.5,,
49.6,760,0.726,0.776,+-0.1,+-0.5,,
49.1,760,0.787,0.82,+-0.1,+-0.5,,
48.8,760,0.868,0.885,+-0.1,+-0.5,,
48.5,760,0.909,0.922,+-0.1,+-0.5,,
48.3,760,0.956,0.962,+-0.1,+-0.5,,
48.3,760,0.975,0.978,+-0.1,+-0.5,,
48.3,760,1.0,1.0,+-0.1,+-0.5,,
