"T, deg.F","P, mmHg",X,Y,T Err,P Err,X Err,Y Err
173.0,760,0.919,0.93,+-0.1,,1.0%,1.0%
173.3,760,0.867,0.892,+-0.1,,1.0%,1.0%
173.8,760,0.789,0.838,+-0.1,,1.0%,1.0%
175.5,760,0.624,0.738,+-0.1,,1.0%,1.0%
177.5,760,0.534,0.683,+-0.1,,1.0%,1.0%
181.4,760,0.301,0.518,+-0.1,,1.0%,1.0%
186.8,760,0.13,0.347,+-0.1,,1.0%,1.0%
172.8,760,0.959,0.953,+-0.1,,1.0%,1.0%
172.7,760,0.969,0.967,+-0.1,,1.0%,1.0%
173.0,760,0.985,0.983,+-0.1,,1.0%,1.0%
175.6,760,0.613,0.732,+-0.1,,1.0%,1.0%
190.2,760,0.0652,0.237,+-0.1,,1.0%,1.0%
173.2,760,0.854,0.885,+-0.1,,1.0%,1.0%
