"T, deg.C","P, kPa",X,Y,T Err,P Err,X Err,Y Err
40,25.05,0.0,0.0,,,,0.01
40,25.51,0.018,0.03,,,,0.01
40,26.33,0.055,0.089,,,,0.01
40,27.5,0.112,0.183,,,,0.01
40,28.9,0.184,0.286,,,,0.01
40,30.39,0.261,0.381,,,,0.01
40,31.86,0.342,0.473,,,,0.01
40,33.29,0.421,0.552,,,,0.01
40,34.51,0.499,0.624,,,,0.01
40,34.63,0.504,0.627,,,,0.01
40,35.92,0.584,0.692,,,,0.01
40,37.33,0.673,0.766,,,,0.01
40,38.65,0.756,0.832,,,,0.01
40,39.87,0.832,0.886,,,,0.01
40,40.84,0.897,0.932,,,,0.01
40,41.57,0.946,0.966,,,,0.01
40,42.08,0.98,0.988,,,,0.01
40,42.31,1.0,1.0,,,,0.01
