"T, deg.F","P, mmHg",X,Y,T Err,P Err,X Err,Y Err
160.0,60,0.0022,0.323,+-0.1,+-0.1%,+-0.005,+-0.005
160.0,119,0.0086,0.622,+-0.1,+-0.1%,+-0.005,+-0.005
160.0,206,0.019,0.77,+-0.1,+-0.1%,+-0.005,+-0.005
160.0,311,0.032,0.838,+-0.1,+-0.1%,+-0.005,+-0.005
160.0,446,0.048,0.877,+-0.1,+-0.1%,+-0.005,+-0.005
160.0,612,0.066,0.901,+-0.1,+-0.1%,+-0.005,+-0.005
160.0,933,0.104,0.924,+-0.1,+-0.1%,+-0.005,+-0.005
160.0,1338,0.146,0.93,+-0.1,+-0.1%,+-0.005,+-0.005
160.0,1771,0.196,0.931,+-0.1,+-0.1%,+-0.005,+-0.005
160.0,2345,0.252,0.93,+-0.1,+-0.1%,+-0.005,+-0.005
160.0,3014,0.33,0.922,+-0.1,+-0.1%,+-0.005,+-0.005
