"T, deg.C","P, kPa",X,Y,T Err,P Err,X Err,Y Err
105.0,10.12,0.0,0.0,,,,
105.0,10.36,0.0208,0.043,,,,
105.0,10.96,0.0684,0.1367,,,,
105.0,11.71,0.1317,0.254,,,,
105.0,12.76,0.2182,0.3863,,,,
105.0,14.05,0.3185,0.5132,,,,
105.0,15.35,0.4187,0.6174,,,,
105.0,16.65,0.5106,0.7094,,,,
105.0,17.41,0.5876,0.7692,,,,
105.0,17.6,0.5946,0.7763,,,,
105.0,18.5,0.6729,0.8278,,,,
105.0,19.6,0.7594,0.8828,,,,
105.0,20.64,0.84,0.9319,,,,
105.0,21.49,0.9085,0.9618,,,,
105.0,22.16,0.9624,0.9878,,,,
105.0,22.68,1.0,1.0,,,,
