"T, deg.C","P, MPa",X,Y,T Err,P Err,X Err,Y Err
25,0.0306,0.0,0.0,+-0.01,0.1%,,
25,0.2102,0.0758,0.842,+-0.01,0.1%,,
25,0.3452,0.138,0.8995,+-0.01,0.1%,,
25,0.4901,0.2137,0.9297,+-0.01,0.1%,,
25,0.5682,0.2655,0.9399,+-0.01,0.1%,,
25,0.6991,0.3727,0.9546,+-0.01,0.1%,,
25,0.7474,0.4325,0.96,+-0.01,0.1%,,
25,0.797,0.4909,0.9641,+-0.01,0.1%,,
25,0.8269,0.5248,0.9669,+-0.01,0.1%,,
25,0.9071,0.6353,0.9723,+-0.01,0.1%,,
25,1.0131,0.8173,0.9823,+-0.01,0.1%,,
25,1.0716,0.8997,0.9883,+-0.01,0.1%,,
25,1.112,0.9531,0.9931,+-0.01,0.1%,,
25,1.1566,1.0,1.0,+-0.01,0.1%,,
