"T, K","P, kPa",X,Y,T Err,P Err,X Err,Y Err
429.95,26.6,0.0,0.0,0.133,0.1,+-0.1,+-0.1
428.85,26.6,0.049,0.096,0.133,0.1,+-0.1,+-0.1
424.35,26.6,0.206,0.327,0.133,0.1,+-0.1,+-0.1
422.15,26.6,0.311,0.436,0.133,0.1,+-0.1,+-0.1
420.35,26.6,0.47,0.57,0.133,0.1,+-0.1,+-0.1
419.95,26.6,0.52,0.604,0.133,0.1,+-0.1,+-0.1
419.55,26.6,0.57,0.647,0.133,0.1,+-0.1,+-0.1
419.45,26.6,0.618,0.676,0.133,0.1,+-0.1,+-0.1
419.15,26.6,0.657,0.704,0.133,0.1,+-0.1,+-0.1
418.95,26.6,0.699,0.731,0.133,0.1,+-0.1,+-0.1
418.85,26.6,0.759,0.777,0.133,0.1,+-0.1,+-0.1
418.75,26.6,0.821,0.821,0.133,0.1,+-0.1,+-0.1
418.65,26.6,0.85,0.848,0.133,0.1,+-0.1,+-0.1
418.75,26.6,0.904,0.893,0.133,0.1,+-0.1,+-0.1
418.95,26.6,0.948,0.938,0.133,0.1,+-0.1,+-0.1
419.35,26.6,1.0,1.0,0.133,0.1,+-0.1,+-0.1
